compd_01,c1(c(cccc1Cl)Cl)C(=O)Nc1ccncc1
compd_02,c1(ccccc1)C(=O)Nc1ccncc1
compd_03,c1(c(cccc1)Cl)C(=O)Nc1ccncc1
compd_04,c1(c(cccc1)C)C(=O)Nc1ccncc1
compd_05,c1(c(cccc1)C(F)(F)F)C(=O)Nc1ccncc1
compd_06,c1(c(cccc1F)Cl)C(=O)Nc1ccncc1
compd_07,c1(c(cccc1F)F)C(=O)Nc1ccncc1
compd_08,c1(c(cccc1C)Cl)C(=O)Nc1ccncc1
compd_09,c1(c(cccc1N)Cl)C(=O)Nc1ccncc1
compd_10,c1(c(cccc1C(F)(F)F)Cl)C(=O)Nc1ccncc1
compd_11,c1(c(c(ccc1)Cl)Cl)C(=O)Nc1ccncc1
compd_12,c1(c(c(ccc1)N)Cl)C(=O)Nc1ccncc1
compd_13,c1(c(c(ccc1)OC)Cl)C(=O)Nc1ccncc1
compd_14,c1(c(ccc(c1)Cl)Cl)C(=O)Nc1ccncc1
compd_15,c1(c(ccc(c1)C(F)(F)F)Cl)C(=O)Nc1ccncc1
compd_16,c1(c(ccc(c1)OC)Cl)C(=O)Nc1ccncc1
compd_17,c1(c(cc(cc1)Cl)Cl)C(=O)Nc1ccncc1
compd_18,c1(c(cc(cc1)C(F)(F)F)Cl)C(=O)Nc1ccncc1
compd_19,c1(c(cc(cc1)N)Cl)C(=O)Nc1ccncc1
compd_20,c1(c(cc(cc1)OC)Cl)C(=O)Nc1ccncc1
compd_21,c1(c(cccc1Cl)Cl)NC(=O)c1ccncc1
compd_22,c1(c(cccc1Cl)Cl)S(=O)(=O)Nc1ccncc1
compd_23,c1(c(cccc1Cl)Cl)CNc1ccncc1
compd_24,c1(c(cccc1Cl)Cl)C(=O)N(c1ccncc1)C
compd_25,c1(c(cccc1Cl)Cl)C(=O)NCc1ccncc1
compd_26,c1(c(cccc1Cl)Cl)c1cnc([nH]1)c1ccncc1
compd_27,c1(c(cccc1Cl)Cl)c1[nH]c(c2ccncc2)cn1
